,,,,
ID,Disease,DiseaseDesc,,
1,Acariens_de_la_tomate_acariens_deux_points,"Les acariens de la tomate, également connus sous le nom d'acariens à deux points (Tetranychus urticae), sont de petits arthropodes qui peuvent causer des dommages importants aux cultures de tomates et à d'autres plantes hôtes. Ces acariens se nourrissent de la sève des plantes en perforant les cellules végétales avec leurs pièces buccales. Les symptômes courants de l'infestation par les acariens de la tomate comprennent des feuilles tachetées, jaunies ou desséchées, ainsi que des toiles d'araignée fines sur les feuilles et les tiges. Ces acariens se reproduisent rapidement, ce qui peut entraîner une infestation généralisée si elle n'est pas contrôlée.",,
2,Endroit_cible_de_la_tomate,"L'endroit cible de la tomate, également connu sous le nom de ""target spot"" en anglais, est une maladie fongique qui affecte les tomates, ainsi que d'autres cultures solanacées telles que les pommes de terre et les poivrons. Cette maladie est causée par le champignon Corynespora cassiicola. Les symptômes de l'endroit cible comprennent généralement l'apparition de taches circulaires ou ovales sur les feuilles, qui peuvent varier en couleur de brun clair à noir. Ces taches peuvent se développer et fusionner, entraînant un jaunissement et une décoloration des feuilles. Dans les cas graves, l'endroit cible peut affaiblir la plante et entraîner une chute prématurée des feuilles.",,
3,Mildiou_de_la_pomme_de_terre,"Le mildiou de la pomme de terre, également connu sous le nom de Phytophthora infestans, est une maladie fongique destructrice qui peut causer d'importantes pertes de récolte dans les cultures de pommes de terre. Cette maladie peut également affecter les tomates, car les deux plantes sont étroitement liées. Le mildiou est particulièrement problématique dans les climats frais et humides.",,
4,Mildiou_hatif_de_la_pomme_de_terre,"Le mildiou hatif de la pomme de terre, également connu sous le nom de Phytophthora infestans, est une forme de mildiou spécifique qui se produit plus tôt dans la saison de croissance de la pomme de terre. Comme le mildiou tardif, il est causé par le champignon Phytophthora infestans et peut causer d'importantes pertes de récolte si les mesures de contrôle appropriées ne sont pas prises.",,
5,Moisissure_des_feuilles_de_tomate,"La moisissure des feuilles de tomate est généralement causée par des champignons du genre Alternaria ou Botrytis. Ces champignons se développent dans des conditions de chaleur et d'humidité et peuvent infecter les feuilles de tomate, entraînant le développement de taches et de moisissures.",,
6,Mildiou_hatif_de_la_tomate,"Le mildiou hatif de la tomate, également connu sous le nom de Phytophthora infestans, est une maladie fongique qui affecte les plants de tomates, provoquant des lésions sur les feuilles, les tiges et les fruits. Il peut causer d'importantes pertes de récolte si les mesures de contrôle appropriées ne sont pas mises en œuvre.",,
7,Poivron_sain,L'image indique que la plante est hors d'etat de nuire,,
8,Poivron_Tache_bacterienne,"La tache bactérienne du poivron est une maladie causée par la bactérie Xanthomonas euvesicatoria. Elle affecte principalement les plants de poivrons et de piments. Les symptômes typiques comprennent l'apparition de petites lésions d'eau sur les feuilles, qui finissent par se développer en taches brunes ou noires avec des centres sèches et fissurées. Les fruits peuvent également présenter des lésions et pourrir prématurément.",,
9,Pomme_de_terre_saine,L'image indique que la plante est hors d'etat de nuire,,
10,Tache_bacterienne_de_la_tomate,"La tache bactérienne de la tomate est une maladie causée par la bactérie Xanthomonas campestris pv. vesicatoria. Cette maladie affecte principalement les plantes de tomate et peut entraîner des symptômes tels que des lésions foliaires nécrotiques (taches noires ou brunes sur les feuilles), des taches d'eau sur les fruits qui deviennent rapidement nécrotiques, et éventuellement le flétrissement des plantes.",,
11,Tache_septorienne_de_la_tomate,"La tache septorienne de la tomate, également connue sous le nom de tache septorienne noire, est une maladie fongique causée par le champignon Septoria lycopersici. Cette maladie est l'une des maladies les plus courantes affectant les tomates, en particulier dans les climats chauds et humides. Elle provoque l'apparition de petites taches circulaires sur les feuilles, qui deviennent progressivement plus grandes avec un centre brun foncé et des bords jaunâtres.",,
12,Tomate_Mildiou,"Le mildiou de la tomate se manifeste par des taches foliaires initialement de couleur vert olive qui deviennent rapidement brunes ou noires. Ces taches peuvent se propager rapidement sur les feuilles, les tiges et les fruits, provoquant le flétrissement et la pourriture des parties affectées de la plante. Les conditions climatiques favorables à cette maladie incluent les températures douces (20-25°C) et une humidité relative élevée.",,
13,Tomate_saine,L'image indique que la plante est hors d'etat de nuire,,
14,Virus_de_la_mosaique_de_la_tomate,"Les symptômes du virus de la mosaïque de la tomate incluent des taches foliaires jaunes, vert clair ou vert foncé qui apparaissent sur les feuilles des plants de tomates. Ces taches peuvent être irrégulières et peuvent également affecter la croissance des plantes, réduisant le rendement et la qualité des fruits.",,
15,Virus_de_enroulement_des_feuilles_jaunes_de_la_tomate,"Les symptômes du virus d'enroulement des feuilles jaunes de la tomate comprennent le curling ou l'enroulement des feuilles, ainsi que des taches jaunes ou vert pâle sur les feuilles des plants de tomates. Les feuilles peuvent également devenir épaisses et coriaces. En plus des symptômes foliaires, les plants atteints peuvent montrer un retard de croissance et une diminution du rendement en fruits.",,
